book,group,keyword,page,ctx_before,ctx_after
xianzhi,A,匪,p-0029,",军心涣散,苍溪人民大受其害。匪首冯玉成、万兴发率","众1000多人,突袭县城,横行掳掠。9月_四川督军熊克武与原督军、“川军“总司令刘存厚修好,共同对付滇黛军.在潼川初战告捷后,两人相约于苍溪县城,面商进一步合作计划,决定集中力量先取成都,再进取叙府、泸州,歼灭滇、黔军主力。民国13年(1924)夏“大旱大饥,东河尤甚。民有剥树皮"
xianzhi,A,歼灭,p-0029,"合作计划,决定集中力量先取成都,再进取叙府、泸州,","滇、黔军主力。民国13年(1924)夏“大旱大饥,东河尤甚。民有剥树皮、春葛藤、挖草根而食者,饿殇载道,河无船行“。是年县城刘元述、陶加炳、张兴和3家以900元银币购回英制缝纫机3部,始川机器缝衣服。县城首次放映无声电影。"
xianzhi,A,地主,p-0030,"导的红灯教农民起义军于今东溪乡三清庙起义,多饮痛击","武装。翌年10月,田颂尧派兵图初,温被俘,就义于县城西门河坝。|秋在县教育局内附设师范讲习所,培养师资。民国15年(1926)县人李清玉(即李蕴璞〉在成都高等师范学校读书,由荀永芳、张博诗介绍加入中国共产党,为苍溪最早的共产党员。′民国17年(1928)田颂尧部第三师师长罗通琼提"
xianzhi,A,大会,p-0030,"5月3日_县立初级中学在纪念济南惨案举行的示威游行","上,请朝鲜志士李先生报告“日本军国主义在朝鲜的暴行“。夏由罗茂修、陶炎武、赵友兰等发起苍中校部分学生和成都回乡大学生刘国柱、文景伟等参加,在县城成立“破除迷信大同盟“。秋在县城原考棚处建立苍溪县女子师范学校,李阳川任校长。"
xianzhi,A,大会,p-0031,"昌客。9月8日“在文昌宫召开苍溪县第一次工农兵代表",",选举产生新的苍溪县苏维埃政府,主席蒋德洪,副主席王子合、蒋德兴、松成先。′是年“红军进入苍溪后,国民党县党部、县政府迁至东岳乡鸣羊寺。民国23年〔(1934)9月13日至15日“红四方面军黄猫垭战斗共歼国民党军队10个团,毙、伤、俘敌旅长以下官兵1.4万余人,胜利结束“反六路围"
xianzhi,A,国民党,p-0031,"席王子合、蒋德兴、松成先。′是年“红军进入苍溪后,","县党部、县政府迁至东岳乡鸣羊寺。民国23年〔(1934)9月13日至15日“红四方面军黄猫垭战斗共歼国民党军队10个团,毙、伤、俘敌旅长以下官兵1.4万余人,胜利结束“反六路围攻“战斗。|"
xianzhi,A,联保,p-0032,"红四方面军全部撒离苍溪。6月“划全县为5区、36个","办事处、203个保。9月县政府抽调民工1万人到今广元中子铺参加修筑川陕公路,投工约26万个,耗粮2000余石。民国25年〔(1936)从春至秋干旱180多天。翌年仍久旱不两,大面积粮食歉收,饥民吃草根树皮、神仙面(白泥),甚至人自相食,饿招载道。-5月19日“五峰乡青盐沟农民入股"
xianzhi,A,民团,p-0032,"社.坦年,全县建信用社16个。秋苍溪人黄聚五组织饥","赳省政府请愿。经苍溪人陈维新〔前河南省开封市市长,住成都)说服省主席刘湖,豁免了苍溪当年赋税。10月苍溪始有两区、7乡通电话。是年县政府收音室成立。|成立县民众教育馆,内设图书室、阅览室。民国26年(1937)“1月27日“苍溪县测候所成立,业务由农林技士兼办。8月成都慈幼协会陈"
xianzhi,A,死亡,p-0033,"霍乱流行,八庙今红花村一组李开基、李开业两家共8人","。9月张滕、章伯钧来苍视察工作。11月“在县城东苗圃秘密建立中国共产党苍溪县委员会,潘实之任书记。是年“国民政府开始在苍溪发行救国公债,至30年(1941)全县发行4次,共5120′万元(法币3,从30年起分年偿还,30年还清。民国28年(1939)1月23日“县政府令各地发展“"
xianzhi,A,国民党,p-0033,"校学生和城内居民为宣传抗日举行火炬游行。4月“中国","苍溪县执行委员会(县党部)成立,执行委员余光玖任书记长。7月“成立三民主义青年团阅中分团部苍溪直属分队,29年改建为苍溪直属区队,35年3月正式成立三青团苍溪县分团部。秋县立初级中学校铣复,李蕴璞任校长。是年,建立中共县立初级中学支部。12月有限责任“四川省苍溪县合作金库“成立,"
xianzhi,A,三青团,p-0033,"分队,29年改建为苍溪直属区队,35年3月正式成立","苍溪县分团部。秋县立初级中学校铣复,李蕴璞任校长。是年,建立中共县立初级中学支部。12月有限责任“四川省苍溪县合作金库“成立,办理信用合作社和其社员的农业贷款、存款及汇兑业务。「是年“苍溪县妇女会、苍溪县各界人士抗敌后援会成立,宣传抗战,义卖募捐,慕问抗日家属。改苍溪三等县为四等"
xianzhi,A,国民党,p-0034,"国30年(1941)1月19日川康绥靖主任邓锡侯、","四川省执委黄季陆等密令国民党苍溪县执委会“密搬严讯共党重要分子潘实之…...21人“。县党部书记长余光玛、县长曾锦柏派军訾于!月24日深夜速捐潘实之、杨伯刚等13人。8月24日日军飞机27架空袭县城,投弹6枚(其中烧夷弹3枚),弹落城南洪山梁(今镇水乡境),炸死农民8人,伤5人,"
